idx,feature,sym,code,category
438,dpo012,dpo,012,Baby Convenience - Feeding Accessories
439,dpo013,dpo,013,Baby Convenience - Nursery & Safety
440,dpo014,dpo,014,Baby Convenience - Strollers & Carseats
441,dpo015,dpo,015,Baby Core - Diapering
442,dpo016,dpo,016,Baby Core - Formula
443,dpo017,dpo,017,Baby Core - Wipes
444,dpo018,dpo,018,Baby Necessaries - Baby Detergent
445,dpo019,dpo,019,Baby Necessaries - Baby Foods
446,dpo020,dpo,020,Baby Necessaries - Mom & Baby Care
447,dpo021,dpo,021,Beauty - Fragrance
448,dpo022,dpo,022,Beauty - Makeup
449,dpo023,dpo,023,Beauty - Nailcare
450,dpo024,dpo,024,Beauty - Skin Care
451,dpo025,dpo,025,Beauty - Tools & Accessories
452,dpo026,dpo,026,Beverages - Drinks
453,dpo027,dpo,027,Beverages - Water
454,dpo028,dpo,028,Books - Children Books
455,dpo029,dpo,029,Books - Education Books
456,dpo030,dpo,030,Books - Foreign Books
457,dpo031,dpo,031,Books - General Books
458,dpo032,dpo,032,Books - Other Media
459,dpo033,dpo,033,Car Accessories - Car Charger & Others
460,dpo034,dpo,034,Car Accessories - Car Electronics
461,dpo035,dpo,035,Car Accessories - Car Interior & Exterior
462,dpo036,dpo,036,Car Accessories - Car Tools & DIY
463,dpo037,dpo,037,Computer & Digital - Cell Phone & Acc.
464,dpo038,dpo,038,Computer & Digital - Computer
465,dpo039,dpo,039,Computer & Digital - Digital
466,dpo040,dpo,040,Computer & Digital - PC & Video Game
467,dpo041,dpo,041,Domestic Travel - Accommodation_Boutique
468,dpo042,dpo,042,Domestic Travel - Accommodation_Hotel
469,dpo043,dpo,043,Domestic Travel - Accommodation_Instant Pension
470,dpo044,dpo,044,Domestic Travel - Accommodation_Pension
471,dpo045,dpo,045,Domestic Travel - Accommodation_Resort
472,dpo046,dpo,046,Domestic Travel - Accommodation_Sub Pension
473,dpo047,dpo,047,Domestic Travel - Air/Transportation
474,dpo048,dpo,048,Domestic Travel - Car Rental
475,dpo049,dpo,049,Domestic Travel - Package
476,dpo050,dpo,050,Domestic Travel - Ticket/Pass
477,dpo051,dpo,051,Electronics - AV
478,dpo052,dpo,052,Electronics - Beauty Appliance
479,dpo053,dpo,053,Electronics - Health Appliance
480,dpo054,dpo,054,Electronics - Living Appliance
481,dpo055,dpo,055,Electronics - Seasonal Appliance
482,dpo056,dpo,056,"Fresh, Cold & Frozen - Cold & Frozen Food"
483,dpo057,dpo,057,"Fresh, Cold & Frozen - Fresh"
484,dpo058,dpo,058,Home - Bath Acc. & Household Cleaning
485,dpo059,dpo,059,Home - Bedding & Handcraft & Curtain
486,dpo060,dpo,060,Home - Furniture & Storage
487,dpo061,dpo,061,Home - Home Deco
488,dpo062,dpo,062,Home - Tools & Home Improvement
489,dpo063,dpo,063,Household - Detergent
490,dpo064,dpo,064,Household - Tissue
491,dpo065,dpo,065,Kitchen - Cookware
492,dpo066,dpo,066,Kitchen - Food Storage
493,dpo067,dpo,067,Kitchen - Kitchen Accessories
494,dpo068,dpo,068,Kitchen - Kitchen Appliance
495,dpo069,dpo,069,Kitchen - Kitchen Disposable
496,dpo070,dpo,070,Kitchen - Tableware
497,dpo071,dpo,071,Kitchen - Tools & Gadgets
498,dpo072,dpo,072,Meal & Healthy - Healthy food
499,dpo073,dpo,073,Meal & Healthy - Meal Essentials
500,dpo074,dpo,074,Overseas Travel - Accommodation
501,dpo075,dpo,075,Overseas Travel - Air/Transportation
502,dpo076,dpo,076,Overseas Travel - Car Rental
503,dpo077,dpo,077,Overseas Travel - Package
504,dpo078,dpo,078,Overseas Travel - Ticket/Pass
505,dpo079,dpo,079,Personal Care - Adult Goods
506,dpo080,dpo,080,Personal Care - Body Care
507,dpo081,dpo,081,Personal Care - Digital Scale
508,dpo082,dpo,082,Personal Care - Electric Toothbrush
509,dpo083,dpo,083,Personal Care - Hair Care
510,dpo084,dpo,084,Personal Care - Health Care
511,dpo085,dpo,085,Personal Care - Hygienic Care
512,dpo086,dpo,086,Personal Care - Oral Care
513,dpo087,dpo,087,Pet - Cat Food
514,dpo088,dpo,088,Pet - Cat Supply
515,dpo089,dpo,089,Pet - Dog Food
516,dpo090,dpo,090,Pet - Dog Supply
517,dpo091,dpo,091,Pet - Small Animals
518,dpo092,dpo,092,Shoes - Fashion Shoes
519,dpo093,dpo,093,Shoes - Sports Shoes
520,dpo094,dpo,094,"Snacks, Coffee & Tea - Coffee & Tea"
521,dpo095,dpo,095,"Snacks, Coffee & Tea - Snacks"
522,dpo096,dpo,096,Sporting Goods - Exercise & Fitness
523,dpo097,dpo,097,Sporting Goods - Outdoor & Camping
524,dpo098,dpo,098,Sporting Goods - Sports Equipment
525,dpo099,dpo,099,Stationery - Arts & Hobbies
526,dpo100,dpo,100,Stationery - Novelty
527,dpo101,dpo,101,Stationery - Office Supplies
528,dpo102,dpo,102,Toys - Baby Toys
529,dpo103,dpo,103,Toys - Kids Toys
530,dpo104,dpo,104,Toys - Kidult Toys
531,dpo105,dpo,105,all
532,dpo106,dpo,106,null
533,dpq001,dpq,001,Accessory - Bag
534,dpq002,dpq,002,Accessory - Other Accessory
535,dpq003,dpq,003,Accessory - Suitcase
536,dpq004,dpq,004,Accessory - Watch & Jewely & Glasses
537,dpq005,dpq,005,Apparel - Baby Fashion
538,dpq006,dpq,006,Apparel - Casual Clothes
539,dpq007,dpq,007,Apparel - Men Clothes
540,dpq008,dpq,008,Apparel - Sports Clothes
541,dpq009,dpq,009,Apparel - Underwear & Homewear
542,dpq010,dpq,010,Apparel - Women Clothes
543,dpq011,dpq,011,Baby Convenience - Baby Home
544,dpq012,dpq,012,Baby Convenience - Feeding Accessories
545,dpq013,dpq,013,Baby Convenience - Nursery & Safety
546,dpq014,dpq,014,Baby Convenience - Strollers & Carseats
547,dpq015,dpq,015,Baby Core - Diapering
548,dpq016,dpq,016,Baby Core - Formula
549,dpq017,dpq,017,Baby Core - Wipes
550,dpq018,dpq,018,Baby Necessaries - Baby Detergent
551,dpq019,dpq,019,Baby Necessaries - Baby Foods
552,dpq020,dpq,020,Baby Necessaries - Mom & Baby Care
553,dpq021,dpq,021,Beauty - Fragrance
554,dpq022,dpq,022,Beauty - Makeup
555,dpq023,dpq,023,Beauty - Nailcare
556,dpq024,dpq,024,Beauty - Skin Care
557,dpq025,dpq,025,Beauty - Tools & Accessories
558,dpq026,dpq,026,Beverages - Drinks
559,dpq027,dpq,027,Beverages - Water
560,dpq028,dpq,028,Books - Children Books
561,dpq029,dpq,029,Books - Education Books
562,dpq030,dpq,030,Books - Foreign Books
563,dpq031,dpq,031,Books - General Books
564,dpq032,dpq,032,Books - Other Media
565,dpq033,dpq,033,Car Accessories - Car Charger & Others
566,dpq034,dpq,034,Car Accessories - Car Electronics
567,dpq035,dpq,035,Car Accessories - Car Interior & Exterior
568,dpq036,dpq,036,Car Accessories - Car Tools & DIY
