member_srl,dpo087,dpo090,cto089,dpo089,cto087,cto090,dpq087,dpq090,dpq089,aas089,gpd089,cto088,gpd087
3283210,20.28,15.21,14.0,24.33,17.0,23.0,10.14,8.69,12.17,277200.0,757.38,14.0,1140.05
40488520,21.47,16.59,8.0,40.56,16.0,21.0,11.06,7.6,18.25,179450.0,490.3,28.0,1147.19
101232421,36.5,10.43,23.0,15.21,9.0,34.0,28.08,5.14,8.11,404050.0,1103.96,9.0,241.99
26481241,33.18,10.43,11.0,30.42,10.0,34.0,15.87,5.37,15.87,480860.0,1313.83,7.0,1118.14
13374457,26.07,13.52,26.0,13.52,13.0,26.0,24.33,4.01,7.77,1436130.0,3923.85,9.0,1261.97
29916830,26.07,14.6,27.0,13.04,13.0,24.0,12.17,2.34,3.32,1071980.0,2928.91,20.0,1317.84
47112361,28.08,11.77,8.0,40.56,12.0,30.0,17.38,5.98,16.59,194130.0,530.41,20.0,656.69
4784061,40.56,9.86,19.0,18.25,8.0,36.0,40.56,4.29,12.59,835070.0,2281.61,9.0,291.72
4384806,16.59,22.81,13.0,26.07,21.0,15.0,7.45,17.38,21.47,360100.0,983.88,24.0,2632.46
1520758,21.47,18.25,23.0,15.21,16.0,19.0,3.54,4.56,2.79,2883620.0,7878.74,11.0,7742.57
6724276,28.08,20.28,4.0,73.0,12.0,17.0,18.25,9.13,45.63,42460.0,116.01,20.0,480.3
1354202,24.33,14.04,7.0,45.63,14.0,25.0,10.74,8.9,40.56,65480.0,178.91,14.0,951.89
4318118,22.81,14.04,24.0,14.6,15.0,25.0,18.25,8.9,3.8,930640.0,2542.73,8.0,1071.86
397167,20.28,24.33,28.0,12.59,17.0,14.0,15.21,24.33,6.19,414210.0,1131.72,1.0,568.85
257454,40.56,60.83,4.0,73.0,8.0,5.0,21.47,60.83,40.56,87190.0,238.22,0.0,341.26
78642882,28.08,12.59,7.0,45.63,12.0,28.0,3.41,3.32,11.41,191500.0,523.22,1.0,1849.56
2742819,60.83,15.87,14.0,24.33,5.0,22.0,30.42,6.29,10.14,228600.0,624.59,0.0,252.92
45120219,26.07,11.77,23.0,15.21,13.0,30.0,19.21,5.21,5.89,452950.0,1237.57,7.0,563.09
8380975,20.28,14.6,20.0,17.38,17.0,24.0,8.3,9.13,7.02,421720.0,1152.24,21.0,1226.83
4184355,52.14,21.47,4.0,73.0,6.0,16.0,45.63,8.11,36.5,78910.0,215.6,4.0,476.91
10415695,18.25,15.87,15.0,22.81,19.0,22.0,11.77,8.49,7.02,237480.0,648.85,12.0,1295.96
101717537,30.42,10.14,18.0,19.21,11.0,35.0,16.59,6.52,13.52,390150.0,1065.98,16.0,460.41
3484481,24.33,11.77,18.0,19.21,14.0,30.0,8.69,2.12,7.3,416550.0,1138.11,22.0,2082.6
12426256,16.59,21.47,20.0,17.38,21.0,16.0,7.77,8.49,7.77,467490.0,1277.3,12.0,1539.02
249766,18.25,52.14,9.0,36.5,19.0,6.0,3.32,28.08,17.38,150020.0,409.89,6.0,955.44
6417565,60.83,15.21,16.0,21.47,5.0,23.0,26.07,4.51,8.69,998880.0,2729.18,2.0,276.61
335736,18.25,36.5,6.0,52.14,19.0,9.0,10.14,19.21,33.18,101380.0,276.99,0.0,2395.38
11666074,20.28,16.59,25.0,14.04,17.0,21.0,12.17,10.14,5.29,392780.0,1073.17,11.0,845.71
8950841,17.38,17.38,12.0,28.08,20.0,20.0,11.06,13.04,21.47,98670.0,269.59,6.0,645.57
2176828,28.08,22.81,34.0,10.43,12.0,15.0,13.52,16.59,5.98,517260.0,1413.28,10.0,508.91
16203574,52.14,12.17,26.0,13.52,6.0,29.0,17.38,6.29,6.76,283930.0,775.77,6.0,204.51
64928235,22.81,12.59,21.0,16.59,15.0,28.0,11.06,2.47,2.55,1025470.0,2801.83,12.0,1863.42
1271988,24.33,16.59,30.0,11.77,14.0,21.0,24.33,8.11,4.29,314770.0,860.03,12.0,410.52
107680671,21.47,13.52,11.0,30.42,16.0,26.0,2.83,1.68,17.38,720470.0,1968.5,10.0,2991.58
913797,22.81,33.18,4.0,73.0,15.0,10.0,20.28,30.42,45.63,28160.0,76.94,14.0,712.32
69139831,17.38,16.59,12.0,28.08,20.0,21.0,14.6,7.02,10.43,213600.0,583.61,41.0,3156.07
57547209,18.25,18.25,8.0,40.56,19.0,19.0,10.14,9.61,22.81,301510.0,823.8,14.0,2141.72
13395996,45.63,12.59,31.0,11.41,7.0,28.0,33.18,4.74,3.88,795470.0,2173.42,9.0,263.61
4490888,24.33,11.06,19.0,18.25,14.0,32.0,20.28,7.93,9.13,328280.0,896.94,6.0,666.15
159345,40.56,30.42,3.0,91.25,8.0,11.0,40.56,11.77,45.63,126650.0,346.04,0.0,730.9
4832547,40.56,12.17,31.0,11.41,8.0,29.0,40.56,3.92,3.12,1088710.0,2974.62,0.0,515.68
331638,17.38,22.81,7.0,45.63,20.0,15.0,10.74,11.41,18.25,71020.0,194.04,19.0,895.33
38641087,16.59,18.25,12.0,28.08,21.0,19.0,6.89,5.98,15.87,317680.0,867.98,2.0,2576.09
107521,60.83,17.38,8.0,40.56,5.0,20.0,19.21,2.99,4.4,402560.0,1099.89,5.0,275.38
13837790,15.87,22.81,10.0,33.18,22.0,15.0,7.6,5.07,7.93,377370.0,1031.07,11.0,4119.81
17952098,33.18,11.77,29.0,12.17,10.0,30.0,19.21,2.85,3.84,2015060.0,5505.63,4.0,867.35
420179,19.21,30.42,5.0,60.83,18.0,11.0,13.04,19.21,60.83,59840.0,163.5,10.0,1695.68
98990,60.83,33.18,6.0,52.14,5.0,10.0,60.83,21.47,40.56,138430.0,378.22,5.0,298.09
106538753,30.42,9.86,11.0,30.42,11.0,36.0,26.07,6.4,12.59,466630.0,1274.95,0.0,330.66
9757154,36.5,13.52,4.0,73.0,9.0,26.0,10.43,6.52,18.25,53000.0,144.81,9.0,943.83
499467,17.38,30.42,6.0,52.14,20.0,11.0,9.13,21.47,15.87,127850.0,349.32,12.0,2133.85
4089858,18.25,21.47,27.0,13.04,19.0,16.0,14.6,20.28,7.93,328590.0,897.79,4.0,943.63
601536,40.56,28.08,3.0,91.25,8.0,12.0,24.33,13.52,73.0,32170.0,87.9,10.0,1285.79
63861740,21.47,13.04,23.0,15.21,16.0,27.0,16.59,7.16,6.89,1081770.0,2955.66,1.0,1384.29
567410,22.81,60.83,6.0,52.14,15.0,5.0,4.4,28.08,21.47,66750.0,182.38,14.0,1448.88
